Titulo Original,Transliteración,Titulo en Portugués,Editor/Director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicios,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas,Ubicación
Kol news ,,,Chella Safra - coordinacion editorial,Portugués,Brasil,São Paulo,"Rua Cacapava, 105",Divisão Feminina do Fundo Comunitário ,Boletin,1992?,XX,XX,1992,?,2001,XX,XX,2001,/,quarterly,cultural,,NLI
Kulanu: Judaísmo & Cultura,,,,Portugués,Brasil,São Paulo,,,Boletin,abril-mayo 1997,04-05,XX,1997,~,,,,,/,,,,Harvard; LoC
Legal ,,A revista Legal e uma publicacao dirigida a comunidade judaica do Rio de Janeiro,,Portugués,Brasil,Rio de janeiro ,,Dois Pontos Marketing & Comunicacao,,1999?,XX,XX,1999,?,,,,,/,,,,Bib. Nac. Brasil
Likrat Shabat,,,,Portugués,Brasil,São Paulo,,Congregação e Beneficência Saferdi Paulista,,abril-mayo 2004,04-05,XX,2004,~,,,,,/,,sefaradim,,Harvard
Lubavitch views,,,,Portugués,Brasil,Rio de janeiro ,,Beit Lubavitch do Rio de Janeiro,Revista,1992?,XX,XX,1992,?,,,,,/,c/2 meses,jabad,,Harvard; Utexas: Bib. NAc. Brasil
Mandamentos do Judaismo Brasileiro ,,,Salomao Podoleanu - redactor,Portugués,Brasil,São Paulo,,,Revista,junio 1964 ,06,XX,1964,,,,,,/,monthly,,,Center for Jewish History CJH (NY)
Menora,,,Eliahu Chut?,Portugués,Brasil,Rio de janeiro ,,,,196?,XX,XX,196X,,,,,,/,weekly,,tomado de American Jewish Year Book v.63 (1962) p.480,
Mitteilungen der Congregação Israelita Paulista,,,,Alemán,Brasil,São Paulo,,Congregação Israelita Paulista,,,,,,,,,,,,,,,
Morasha,,,,Portugués,Brasil,São Paulo,,Instituto Morashá de Cultura / Congregação e Beneficência Safardi Paulista,,mayo 1993,05,XX,1993,,,,,,/,trimestral,sefaradies,,Stanford; UCLA; LoC; Harvard; NYPL; HUC; Utexas; NLI; Bib. Nac. Brasil
Na'amat Brasil informe :boletim trimestral da Organização das Mulheres Pioneiras do Brasil.,,,,Portugués,Brasil,Rio de janeiro ,,Organização das Mulheres Pioneiras do Brasil,,1993?,XX,XX,1993,?,,,,,/,quarterly,mujeres,,UCLA; HUC; Bib. Nac. Brasil
Nascente : orgao de divulgacao da Congregacao Mekor Haim,,,,Portugués,Brasil,São Paulo,,Congregacao Mekor Haim,Revista,1994?,XX,XX,1994,?,,,,,/,bimestral,,,Harvard; Bib. Nac. Brasil
Neue jüdische Rundschau,,,,Alemán,Brasil,Rio de janeiro ,,Organizacao Sionista Unificada do Brazil,,1951,XX,XX,1951,,,,,,/,,sionista,,NLI
Nosso lar : boletim informativo da Sociedade Religiosa e Beneficente Israelita Lar dos Velhos ,,,,Portugués,Brasil,São Paulo,,Sociedade Religiosa e Beneficente Israelita Lar dos Velhos ,,197?,XX,XX,197X,,,,,,/,,,,Bib. Nac. Brasil
"Nosso papel :
informativo do Centro de História e Cultura Judaica",,,,Portugués,Brasil,Rio de janeiro ,, Centro de História e Cultura Judaica,,2003,XX,XX,2003,,,,,,/,semiannual,,,UTexas; Bib. Nac. Brasil
Noticiario Na'amat-Pioneiras  ,,,,Portugués,Brasil,São Paulo,"Rua São Martinho, 48",Na'amat Pioneiras Brasil,Boletin,mayo 1986,05,XX,1986,,,,,,/,,mujeres,,NLI
Notícias B'nai B'rith Rio : informativo mensal ,,,,Portugués,Brasil,Rio de janeiro ,,"Associação Beneficente e Cultural B'nai B'rith do Rio de Janeiro, Loja Albert Einstein",,november 1998,11,XX,1998,,,,,,/,monthly,,,UCLA; Bib. Nac. Brasil
"Now! : publicacao mensal do Beit Chabad ""Ohel Yossef"" de Vila Mariana ",,,,Portugués,Brasil,Vila Mariana?,,"Beit Chabad ""Ohel Yossef""",,2008?,XX,XX,2008,?,,,,,/,,jabad,,Bib. Nac. Brasil
O Chabadniquinho : jornalzinho do Tsivot Hashem ,,,,Portugués,Brasil,São Paulo,,Chabad,,1988,XX,XX,1988,,,,,,/,,Jabad,,Bib. Nac. Brasil
O Correio Israelita,,,,Portugués,Brasil,,,,,1921,XX,XX,1921,,1923,XX,XX,1923,,,sionista,,
O Folha Israelita ,,O Folha Israelita ,David José Israel,Portugués,Brasil,Manaus,,,,1949,XX,XX,1949,,1958,XX,XX,1958,,,marroquies?,,
O Hebreu,,revista da comunidade judaica brasileira,"Eliahu Chut - director; Igor Veltman, editor",Portugués,Brasil,São Paulo,"Rua Mamore, 570",Empresa Jornalístca O Hebreu Ltda.,Revista,30 marzo 1980,03,30,1980,,,,,,/,monthly,general,,Harvard; Center for Jewish History CJH (NY); UCLA; Uflo; LoC; NYPL; HUC; NLI
O Macabeu,,,,Portugués,Brasil,Curitiba,"Rua Mateus Leme, 1431",Comunidade Israelita do Parana,Revista,1953?,XX,XX,1953,?,,,,,/,,cultural,,NLI; Bib. Nac. Brasil
O Shofar ,,,,Portugués,Brasil,Rio de janeiro ,,,,abril 1996,04,XX,1996,,,,,,/,,,,Bib. Nac. Brasil
Or Tora Beth-El : informativo da Congregacao Religiosa Israelita Beth-El ,,,,Portugués,Brasil,Rio de janeiro ,,Congregacao Religiosa Israelita Beth-El ,,1995?,XX,XX,1995,,,,,,/,monthly,,,Bib. Nac. Brasil
Pardes : um fanzine judaico,,,,Portugués,Brasil,Rio de janeiro ,,Instituto de Estudos da Religião,,1989,XX,XX,1989,,,,,,/,,,,HUC
Paz agora : orgao informativo dos amigos brasileiros de Paz Agora ,,,,Portugués,Brasil,São Paulo,,amigos brasileiros de Paz Agora ,,1983?,XX,XX,1983,?,,,,,/,,,,Bib. Nac. Brasil
Pensamento da semana ,,,,Portugués,Brasil,Rio de janeiro ,Caixa Postal 372,"Yeshiva Colegial ""Machane Israel""",Boletin,198?,XX,XX,198X,,,,,,/,,jabad,,Harvard
"Press alef :
o jornal da comunidade judaica do Rio de Janeiro",,,,Portugués,Brasil,Rio de janeiro ,,MW Comunicacao Empresarial,,1996,XX,XX,1996,,,,,,/,bimenstral,,,UTexas; UCLA; Harvard; NYPL; Bib. Nac. Brasil
Primeira linha,,,,Portugués,Brasil,,,B'nai B'rith ,Boletin,199?,XX,XX,199X,,,,,,/,,,,Harvard
Quinzena na ARI : informativo da Associação Religiosa Israelita do Rio de Janeiro,,,Mauro Wainstock - director,Portugués,Brasil,Rio de janeiro ,Rua General Severiano 170,Associação Religiosa Israelita do Rio de Janeiro,Boletin,julio 1995,07,XX,1995,,,,,,,monthly,comunitaria,,NLI; Bib. Nac. Brasil
Relatório da Diretoria,,,,Portugués,Brasil,,,,Boletin,,,,,,,,,,,yearbook,escolar,libro?,Harvard
Relatorio geral,,,,Portugués,Brasil,Rio de janeiro ,"Rua Sao Christovao, 189",Sociedade Beneficiente Israelitae e Amparao oas Immigrantes,,1900s,XX,XX,19XX,,,,,,/,,inmigracion,,Harvard
Resenha judaica,,,Oscar Nimitz,Portugués,Brasil,São Paulo,,,,,,,,,,,,,,bimonthly,,titulo posterior: Semana judaica,Harvard; Center for Jewish History CJH (NY); UCLA; LoC; NYPL; HUC; Univ. Illinois
Revista 18,,,Luis S. Krausz - editor,Portugués,Brasil,São Paulo,"Rua Novo Horizonte, 208","Centro da Cultura Judaica, Casa de Cultura de Israel",Revista,julio 2002,07,XX,2002,,,,,,/,quarterly,cultural,,UCLA; LoC; Harvard; NYPL; NLI; Bib. Nac. Brasil
Revista Amazonia Judaica,,,David Salgado Filho,Portugués,Brasil,,,,,marzo 2002,03,XX,2002,,,,,,/,monthly,,,
Revista Brasil Israel,,revista mensal de divulgação e intercâmbio entre o Brasil e Israel,,Portugués,Brasil,São Paulo,,Casa de Cultura de Israel,,noviembre 1949,11,XX,1949,,1992?,XX,XX,1992,?,,economica,,Harvard; NLI; Arquivo Histórico Judaico Brasileiro
Revista da Câmara Brasil-Israel de Comércio e Indústria,,,Salomão Schwartzman,Portugués,Brasil,Rio de janeiro ,"Rua Mexico, 111",Câmara Brasil-Israel de Comércio e Indústria,Revista,julio 1959,07,XX,1959,,,,,,/,irregular,industria y comercio,,Harvard; NLI
Revista do Bnei Akiva,,,,Portugués,Brasil,Rio de janeiro ,,Bnei Akiva ,,,,,,,,,,,,,juventud,,Utexas
Revista da Feira da fraternidade,,,,Portugués,Brasil,Curitiba,,Organização Feminina WIZO,,,,,,,,,,,,,sionista; mujeres,,Harvard
Revista de estudos judaicos,,,,Portugués,Brasil,Belo Horizonte,,Instituto Histórico Israelita Mineiro,,1998,XX,XX,1998,,,,,,/,aunal,,,Bibl Univ Granada; Bib. Nac. Brasil
Rumo,,,,Portugués,Brasil,São Paulo,,Organização Sionista Unificada do São Paulo,Boletin,1970?,XX,XX,1970,?,,,,,/,trimestral,sionista,,Harvard; Bib. Nac. Brasil
"Rumos : no judaismo, no sionismo e em Israel ",,,,Portugués,Brasil,São Paulo,,Organização Sionista do Brasil,Revista,1986?,XX,XX,1986,?,1988,XX,XX,1988,,quarterly,sionista,,Harvard
Sef@rad report,,,,Inglés,Brasil,São Paulo,,,,December 1996,12,XX,1996,,,,,,/,bimonthly,,,UCLA
Seleções Sionistas,,,,Portugués,Brasil,Porto Alegre,,Organisação Sionista Unificada (Porto Alegre),,1900?,XX,XX,1900,?,,,,,/,,sionista,,Harvard; NLI
Semana,,,,Portugués,Brasil,Porto Alegre,,Associaçao Israelita,,,,,,,,,,,,,,,Harvard
Semana : a revista da comunidade judaica,,,,Portugués,Brasil,São Paulo,,Town ed,,2002,XX,XX,2002,,,,,,/,,,nombre anterior: Semana judaica,
Semana judaica : o jornal da comunidade ,,,Raquel Budow Dimant - editora,Portugués,Brasil,São Paulo,"Rua Luis Coelho, 340",Town ed,Diario,1998,XX,XX,1998,,2002,,,2002,/,weekly,general,continua bajo el nombre de : Semana,NLI; Bib. Nac. Brasil
Shalom,,,Nessim Hamaoui - director,Portugués,Brasil,São Paulo,"Rua Luis Coelho, 340",Town ed,Revista,1998?,XX,XX,1998,?,,,,,/,,cultural,,NLI
Shalom: Análise ,,,,Portugués,Brasil,,,,Revista,,,,,,,,,,,,,,Harvard
Shalom infantil,,,,,Brasil,São Paulo,,Editora Shalom Ltda.,,,,,,,,,,,,,infantil,"American Jewish Year Book .78 1978, p. 308",
"Shalom noticia : a favor do entendimento, contra o preconceito ",,Boletim noticioso distribuido aos assinantes da revista Shalom,,Portugués,Brasil,São Paulo,,Editora Shalom Ltda.,Boletin,1989,XX,XX,1989,,,,,,/,monthly,,,Harvard; Center for Jewish History CJH (NY); Bib. Nac. Brasil
Shofar,,,,Portugués,Brasil,Porto Alegre,,Organização Sionista do Rio Grande do Sul,,1985,XX,XX,1985,,,,,,/,,sionista,,Harvard; NLI
Sidon informativo ,,,,Portugués,Brasil,Rio de janeiro ,, Sociedade Israelita Templo Sidon ,,2000,XX,XX,2000,,,,,,/,bimestral,,,Bib. Nac. Brasil
Torat Israel,,,,Portugués,Brasil,São Paulo,,Or Israel College,,,,,,,,,,,,,,,
Tribuna judaica,,,Oscar Nimitz - redactor,Portugués,Brasil,São Paulo,,Nimitz & Rechtman Editores,Revista,25 abril - 10 mayo 1997,,,,,,,,,,biweekly,,,Harvard; Center for Jewish History CJH (NY); LoC; UPenn; NYPL; HUC
Tzavta : por um judaísmo e um sionismo progessistas,,,,Portugués,Brasil,São Paulo,,Shomer-ha-tsaʻir be-Brasil,,,,,,,,,,,,,sionista,,Harvard
Unibes informa,,,,Portugués,Brasil,São Paulo,,,,,,,,,,,,,,,,,Harvard
Vértices,,,,Portugués,Brasil,São Paulo,,Universidade de São Paulo. Centro de Estudos Judaicos,,1999,XX,XX,1999,,,,,,/,semestral,,,Stanford; LoC; Harvard; NYPL; Bib. Nac. Brasil
Voluntariar ,,,,Portugués,Brasil,São Paulo,,Sociedade Beneficente Israelita Brasileira Albert Einstein,,2003?,XX,XX,2003,?,,,,,/,,,,Bib. Nac. Brasil
Wizo flash,,,,Portugués,Brasil,São Paulo,,Wizo São Paulo,Revista,1992?,XX,XX,1992,?,,,,,/,monthly,sionista,,UCLA; Harvard; NYPL; HUC
Yeshiva's magazine : orgao informativo anual da Yeshiva Guevoha de Sao Paulo ,,,,Portugués,Brasil,São Paulo,,Yeshiva Guevoha de Sao Paulo,,2000,XX,XX,2000,,,,,,/,anual,,,Bib. Nac. Brasil
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Yoman chinuch,,,Hebreo,Brasil,São Paulo,,Departamento de Educação da Agência Judaica,,1990s,XX,XX,199X,,,,,,/,,educación,,Harvard
אונדזער באוועגונג : בולעטין פון דער פועלי-ציון התאחדות ארגאניזאציע ,Unzer bavegung,Nosso movimento,ברוך באריאך  - ed,Idish,Brasil,Porṭo Alegre,"caixa postal, 1930",Organização Poale Sion-Hitachdut,Boletin,enero 1948,01,XX,1948,,,,,,/,,sionista,,Harvard
אונדזער ביולעטין : ארגאן פאר קולטורעל-געזעלשאפטלעכע פראגן,Undzer byuletin : organ far ḳulṭurel-gezelshafṭlekhe fragn,,,Idish,Brasil,Rio de janeiro ,,,,1955,XX,XX,1955,,,,,,/,,socialistas,,Center for Jewish History CJH (NY); NLI
אונזער ווארט : נאציאנאלע צוויי-וועכנטלעכע צייטונג,Unzer ṿorṭ : natsyonale tsṿey-vekhnṭlekhe tsayṭung,,,Idish,Brasil,São Paulo,,,Diario,1934,XX,XX,1934,,,,,,/,,,,Center for Jewish History CJH (NY)
,Undzer Leben,Nossa Vida,,Idish,Brasil,,,,Revista,1927,XX,XX,1927,,,,,,/,,,,
אונדזער שול," Undzer shul :Gezelshafṭ-dertsierishe oysgabe, geṿidmeṭ di inṭeresn fun Yidish-ṿelṭlekhn shul-ṿezn in Brazil",,א. אייזנגארט; ש. גרין; כ. בערנשטיין,Idish,Brasil,São Paulo,"Rua Ribeiro de Lima, 73",Yidish-ṿelṭlekhe shul u.n. Sholem Aleykhem,,junio 1934,06,XX,1934,,,,,,/,,educación,,Harvard; Center for Jewish History CJH (NY)
אונזער שטימע,Unzer shtime: Yidish-brazilyaner vokhnblat,Nossa voz,Hersch Schechter ,Idish,Brasil,São Paulo,,,Diario,abril 1947,04,XX,1947,,,,,,/,weekly,comunista,,Harvard; Center for Jewish History CJH (NY); NYPL; Yale; CRL; McGill Univ; Bib. Nac. Brasil
אידישע פאלקסצייטונג, Idishe folḳstsayṭung,A Gazeta Israelita,Eduardo Horowitz & Jacob Schneider,Idish,Brasil,Rio de janeiro ,"Rua Visconde Itauna, 73",,,1927,XX,XX,1927,,,,,,/,,,closed between 1935-41 because of Getulio Vargas,Harvard; Center for Jewish History CJH (NY); NYPL; NLI
אידישע פרעסע : פראגרעסיווע אידישע צייטונג אין בראזיל ,Idishe prese,Imprensa Israelita,A. Bergman- redactor; David Markus,"Idish,Portugués",Brasil,Rio de janeiro ,Av. Pres. Vargas 435,,Diario,1929,XX,XX,1929,,,,,,/,semanal,sionista?,,LoC; Center for Jewish History CJH (NY); NYPL; Harvard; Intl. Instit. of Social History (Holanda); NLI; Arquivo Histórico Judaico Brasileiro
אידישע צייטונג,Idishe tsaytung,,,Idish,Brasil,São Paulo,,,,1930?,XX,XX,1930,?,,,,,/,,,,NYPL
אידישער געזעלשאפטליכער און האנדעלס ביולעטין,Idisher gezelshafṭlikher un handels byuleṭin :Ershaynṭ yeden frayṭog.,,,Idish,Brasil,São Paulo,,,,192?,XX,XX,192X,,,,,,/,semanal,economia,,Center for Jewish History CJH (NY)
אילוסטרירטע וועלט וואך,Ilustrirte velt vokh,Mundo illustrado,,Idish,Brasil,Rio de janeiro ,,,,diciembre 1966,12,XX,1966,,,,,,/,,,,Harvard
"בלעכמאנס סאנ־פאול��ר יאר־בוך,טאשן־לוח און װעגװײזער",,,,Idish,Brasil,São Paulo,,,,1958,XX,XX,1958,,,,,,/,annual,calendario,,Center for Jewish History CJH (NY)
בראזקאר ביולעטין,Brasker bulletin,,,Idish,Brasil,Rio Janeiro,,בראזיליאנער צענטראל קאמיטעט פאר די יידישע איבערוואנדערער אין ראטנפארבאנד,Boletin,agosto 1929,08,XX,1929,,,,,,,,,,NLI
בראזיליאנער אידישע פרעסע,Brazilianer yidishe presse,Imprensa Israelita Brasileira,Aron Kaufman - director,Idish,Brasil,Rio Janeiro,"Sant'Anna, 40",Imprensa Israelita Brasileira,Diario,1923,XX,XX,1923,,,,,,/,,,,NLI
בראזיליאנער אידישע צײטונג. דערשיינט דינסטאג און פרייטאג,Brazilianer yidishe tsaytung,	Diário israelita,Samuel Gandelman,Idish,Brasil,Rio de janeiro ,Av. Pte. Vargas 417-A,Editora Diario Israelita Limitada,semiweekly,,,,,,,,,,,semanal,,,Harvard; Center for Jewish History CJH (NY); LoC; HUC
דאס אידישע װאכענבלאט,Dos Idishe vokhenblat : Dershaynt yeden Fraytog,Semenario Israelita,Jacob Scheinkman ; Aron Kaufman- redactor,Idish,Brasil,Rio de janeiro ,Rua Vde. Itauna 120,,,noveimbre 1923?,11,XX,1923,?,1927,XX,XX,1927,,weekly,,new name: Brazilianer Idische Presse,Harvard; Center for Jewish History CJH (NY); NLI
,Yidishe folks tsaytung,,,"Idish,Portugués",Brasil,Rio de janeiro ,,,,,,,,,,,,,,,,,Harvard
דאס ליכט,"Dos likht : Tsṿey ṿokhenṭlikher zshurnal far ḳunsṭ, humor, poezi un ṿisenshafṭ",,Redaḳṭirṭ fun M. Liberman un Ḥ. P. Leyderman,Idish,Brasil,Rio de janeiro ,," Yanḳev Reydiṭsh, Yitsḥoḳ Barats",Revista,1916,XX,XX,1916,,,,,,/,biweekly,Humor,Palestina,Harvard; Center for Jewish History CJH (NY); Stanford
דאס נײע װארט,Dos naye ṿorṭ : Ḥoydesh-zshurnal far liṭeraṭur un gezelshafṭlekhe fragn,,Isaac Reizman - redactor,Idish,Brasil,Porṭo Alegre,,,Revista,mayo 1927 ,05,XX,1927,,,,,,/,monthly,literatura,,Center for Jewish History CJH (NY); NYPL
דאס ציוניסטישע װארט,Dos tsienisṭishe ṿorṭ : Informaṭiṿer organ fun der fareyniḳṭer tsienisṭisher organizatsye in Brazil,Voz sionista,,Idish,Brasil,Rio de janeiro ,,Fareyniḳṭe tsienisṭishe organizatsye in Brazil,,1954,XX,XX,1954,,,,,,/,,sionista,,Harvard; Center for Jewish History CJH (NY)
די יודישע צוקונפט,Di Idiche Tzukunft,,Josef Halevi,Idish,Brasil,Porṭo Alegre,,,,1920,XX,XX,1920,,,,,,,,,efimero,Center for Jewish History CJH (NY)
די מענשהײט,Di mentschait,A Humanidade,Josef Halevi,Idish,Brasil,Porṭo Alegre,,,,1915,XX,XX,1915,,,,,,,weekly,,6 numbers,Center for Jewish History CJH (NY)
,Di Noie Velt,O Novo Mundo,Adolfo Fichinovski,Idish,Brasil,,,,,1927,XX,XX,1927,,,,,,/,,literatura,,
די פיאנערן-פרוי,Di pionern froy,,,Idish,Brasil,São Paulo,,Naʻamat,,1926,XX,XX,1926,,,,,,/,twice a year,sionista,,LoC
די ציוניסטישע װעלט,Di tsienisṭishe ṿelṭ : Byuleṭin fun der tsienisṭisher federatsye in Brazil,,,Idish,Brasil,Rio de janeiro ,,Tsienistishe federatsye in Brazil,,1935,XX,XX,1935,,,,,,/,,sionista,,Center for Jewish History CJH (NY)
די צײט,"Di tsayṭ : Tsyaṭshrifṭ far liṭeraṭur, ṭeaṭer, ḳriṭiḳ un saṭire",,,Idish,Brasil,São Paulo,,,,1939,XX,XX,1939,,,,,,/,,Humor; literatura,,Harvard; Center for Jewish History CJH (NY)
די קראפט : יידישע וועכנטלעכע אויסגאבע אין ריא-בראזיל,Di Kraft,O Vigor,העורך: מ. גלייזער,Idish,Brasil,Rio de janeiro ,"Rua Visconde Itauna, 105",,Diario,1930,XX,XX,1930,,,,,,/,,,,NLI
דער בעסאראבער ייד אין בראזיל,Der Besaraber Yid in Brazil,,,Idish,Brasil,São Paulo,,,,1947,XX,XX,1947,,,,,,/,,,,Harvard; Center for Jewish History CJH (NY)
דער נײער מאמענט,Der nayer moment : Umophengiḳe tsayṭung far Yidishe folḳsproblemen,O novo momento,Beno Milnitzky. Redaḳṭor: A. Lipiner. Konrad Charmatz,Idish,Brasil,São Paulo,José Paulino 872.,,,1959,XX,XX,1959,,1978,XX,XX,1978,,semanal,,,Harvard; HUC; Center for Jewish History CJH (NY); NLI; Arquivo Histórico Judaico Brasileiro
דער פוילישער ייד : ביולעטין,Der Poilisher Id,,,Idish,Brasil,Rio de janeiro ,,פארבאנד פון פוילישע יידן אין ריא / União dos Israelitas da Polonia no Brasil,Boletin,Dec 1950,12,XX,1950,,,,,,/,,,,UCLA; LoC; FAU; Univ Florida; Harvard; HUC; Univ Toronto; McGill Univ; NLI; National Library of Poland
דער שפיגל,Der shpigl,,Shloymeh Podoleanu - red,Idish,Brasil,São Paulo,,,,1958,XX,XX,1958,,,,,,/,,,,Harvard; Center for Jewish History CJH (NY); JHUniv.; NYPL; Brandeis Univ; Uflo
װעלט-שפיגל,"Ṿelṭ shpigl : Monaṭ-shrifṭ far liṭeraṭur, ḳunsṭ un ṭeaṭer",,,Idish,Brasil,São Paulo,,,Revista,,,,,,,,,,,monthly,,,Center for Jewish History CJH (NY)
יידישער קולטור ביולעטין  ,Idisher Kultur bulletin,,,Idish,Brasil,São Paulo,,פיונערן פרויען ארגאניזאציע,Boletin,marzo 1976,03,XX,1976,,,,,,/,,mujeres,,NLI
לוח פראנקענטהאל, Lueḥ Franḳenṭhal,,,Idish,Brasil,São Paulo,,,,193?,XX,XX,193X,,,,,,/,,,,Center for Jewish History CJH (NY)
,Mir un zei,Nos e elles : orgao independente de propaganda em prol da organisacao de uma melhor collectividade israelita no Brasil,,"Idish,Portugués",Brasil,Rio de janeiro ,,Graphica Kosmos,,1930?,XX,XX,1930,?,,,,,/,,,,Bib Nac Brasil
"מכבי :פינף יאריקע יובילעום אױסגאבע
",Makabi : Finf yoriḳe yubileum oysgabe 1927-1933.,,,Idish,Brasil,São Paulo,,,,1933,XX,XX,1933,,,,,,/,annual,deportiva,,Center for Jewish History CJH (NY)
מנורה,Menora,,Redactor: Yoshua Auerbach,Idish,Brasil,Curitiva,,Organizsacao sionista-revisionista unida do Brasil,,194?,XX,XX,194X,,,,,,/,,sionismo revisionista,,Center for Jewish History CJH (NY)
עפט,efat?,,,Idish,Brasil,São Paulo,,יידישער דעפארטאמענט - פיאנערן פרויען ארגאניזאציע,Revista,1975?,XX,XX,1975,?,,,,,/,,mujeres,,NLI
פאלקס־טריבונע,Folks-tribuna : Aroysgegeben fun a radiḳal progresiṿer grupe,,,Idish,Brasil,Rio de janeiro ,"Rua Senador Euzebio, 23",ראדיקאל פראגרעסיווער גרופע,Diario,1934,XX,XX,1934,,,,,,/,,politico; izquierda,,Harvard; Center for Jewish History CJH (NY); HUC;  Stanford
פאר יידיש,,,Red.: Ḥ. Ḳleyman,Idish,Brasil,Rio de janeiro ,,Grupe far Yidish,,1961,XX,XX,1961,,,,,,/,,,,Harvard; Center for Jewish History CJH (NY)
פארטא אלעגרער אידישע פרעסע : נאציאנאל אומפארטייאישע וואכנבלאט,Porta alegrer Idishe prese : natsyonal umparṭeyishe ṿokhnblaṭ.,Gazeta Israelita Portoalegrense,,Idish,Brasil,Porṭo Alegre,Av. Osvaldo Aranha 1170,,,1933,XX,XX,1933,,,,,,/,,,,Harvard; Center for Jewish History CJH (NY)
פױלישע יידן,Poylishe Iden,,Red. Yoysef Buselḳ,"Idish,Portugués",Brasil,Rio de janeiro ,,Farband fun Poylishe Iden in Brazil ,,1936,XX,XX,1936,,,,,,/,,,,Harvard; Center for Jewish History CJH (NY)
,Der Poylisher Yid,,,Idish,Brasil,Rio de janeiro ,,Tsentral ḳomiṭeṭ fun Poylishe Yidn in Brazil - צענטראל-קאמיטעט פון פוילישע יידן אין בראזיל,,Dec. 1950,12,XX,1950,,,,,,/,,,,Harvard; HUC; UCLA; LoC; USHMM; Uflo; Canada
פונקען. ליטעראריש געזעלשאפטלעכע פון איקוף אין בראזיל,Funken,,"א. שענקער, שמעון ראדעל, ל. פארבער, ש. אייזענבערג - redactores",Idish,Brasil,Rio de janeiro ,Pca. 11 de Junho 212,,Revista,diciembre 1952,12,XX,1952,,,,,,/,,literatura,,Harvard; Center for Jewish History CJH (NY); NLI 
פיאנערן פרױען,Pyonern froyen,As pioneiras,ברוך באריאך  - ed,"Idish,Portugués",Brasil,Porto Alegre,,Organizacão Sionista Feminina Obreria,,octubre 1948,10,XX,1948,,,,,,/,,sionista; mujeres,,Harvard; Center for Jewish History CJH (NY)
פרייע דעכאטע,Fraye dekhate,Debate livre. Mensario Israelita Brasileiro,Isaias Golgher - redactor,Idish,Brasil,Minas Gerais,"Av. Alonso Pena, 562",Editora Mineira Ltd,Boletin,1953,XX,XX,1953,,,,,,/,,,,Harvard
ציוניסטישע בלעטער,Tsienisṭishe bleṭer,,,Idish,Brasil,Rio de janeiro ,,Organ fun der Federatsye fun algemeyne tsienisṭn in Brazil,,1953,XX,XX,1953,,,,,,/,,sionista,,Harvard; Center for Jewish History CJH (NY); Stanford
ציוניסטישע נייעס,Tsionistishe nayes,,נעלסאן וויינער - redactor,Idish,Brasil,Rio de janeiro ,,Faraynikter Tsiyonistisher Organizatsie,,1953,XX,XX,1953,,,,,,/,,sionista,,Harvard
ציוניסטישע טריבונע : אויסגאבע פון ציוניסטן-רעוויזיאניסטן צום 18טן ציוניסטישן קאנגרעס,Tsienisṭishe ṭribune : oysgabe fun tsienisṭn-reṿizyonisṭn tsum 18ṭn tsienisṭishn ḳongres,,,Idish,Brasil,Rio de janeiro ,,,,1930?,XX,XX,1930,?,,,,,/,,sionista revisionista,,Center for Jewish History CJH (NY)
קול המגבית,Periodishe oysgabe fun Keren ha-Yasod,Voz da Magbit,Nelson Ṿayner - redactor,Idish,Brasil,Rio de janeiro ,,Ḳeren ha-yasod in Brazil,,1958,XX,XX,1958,,,,,,/,,,,Center for Jewish History CJH (NY)
קעגן שטראם,Ḳegn shṭrom,,,Idish,Brasil,Rio de janeiro ,,,,1949,XX,XX,1949,,,,,,/,,,,Harvard; Center for Jewish History CJH (NY); LoC; NYPL; Brandeis; HUC
,San Pauler yidishe tsaytung : organ dos israelitas do Brasil ,A gazeta israelita de Sao Paulo,,Idish,Brasil,São Paulo,José Paulino 227-31,,,,,,,,,,,,,,,,IWO
,,,,,,,,,,,,,,,,,,,,,,,